frase	duracao_media_masculino	total_classificacoes_masculino	classificacao_majoritaria_masculino	votos_maioria_masculino	total_positiva_masculino	total_negativa_masculino	total_neutra_masculino	duracao_media_feminino	total_classificacoes_feminino	classificacao_majoritaria_feminino	votos_maioria_feminino	total_positiva_feminino	total_negativa_feminino	total_neutra_feminino	concordancia_grupos
Comprei meu livro.	24.8965	4	negativa	4	0	4	0	29.070749999999997	4	negativa	4	0	4	0	1
Confesso que aquilo me dava um prazer quase que desconhecido, era uma delicia sentir nossas línguas se encostando enquanto ele apertava meus seios.	4.69675	4	negativa	3	0	3	1	6.6075	4	negativa	4	0	4	0	1
Mais uma vez eu to aqui me lamentando, eu estou arrasada, meu marido ele mentiu pra mim, ele criou um perfil no facebook escondido de mim, adicionou várias mulheres, inclusive ex-namoradas.	2.32425	4	neutra	3	1	0	3	10.027000000000001	4	neutra	3	1	0	3	1
Ela me fala coisas e depois diz que não falou, me chama de mentirosa.	6.49	4	positiva	4	4	0	0	8.52275	4	positiva	4	4	0	0	1
Eles brigaram e ela terminou com ele.	5.921500000000001	4	negativa	4	0	4	0	9.716999999999999	4	negativa	4	0	4	0	1
Ganhei um notebook novo.	3.2715	4	negativa	4	0	4	0	7.33075	4	negativa	4	0	4	0	1
Depois de uma hora consegui, peguei meu buzão e um engarrafamento horrível.	3.08525	4	negativa	3	0	3	1	5.43275	4	negativa	3	0	3	1	1
Eu já estava acostumada por saber que muitos garotos já declaravam pra mim.	3.98275	4	negativa	4	0	4	0	11.361	4	negativa	3	0	3	1	1
Já me fiz essa pergunta e voltei três vezes e hoje o sofrimento é mil vezes maior.	5.079	4	positiva	2	2	1	1	9.0495	4	neutra	3	1	0	3	0
A vida nos foi dada gratuitamente.	6.91275	4	negativa	4	0	4	0	11.4545	4	negativa	4	0	4	0	1
Passando então esses 3 horários, chegou o intervalo, encontrei de novo meu namorado, descemos juntos e fomos para ao pátio sentar com de costume no mesmo lugar que sentamos todos os dias.	126.1445	4	negativa	4	0	4	0	5.709	4	negativa	4	0	4	0	1
Meu coração acelera, minhas mãos ficam geladas e meia tremulas, me dá um frio na barriga, e uma sensação estranha quando ele tá por perto, e principalmente quando estamos a sós, ou até mesmo na multidão, quando ele me abraça e diz: você está linda hoje.	3.8985	4	positiva	4	4	0	0	4.2995	4	neutra	3	1	0	3	0
Tudo que eu quero é ficar sozinha, apagar a luz do quarto e esperar o tempo passar, esperando que a dor vá embora.	41.00300000000001	4	positiva	4	4	0	0	12.57725	4	positiva	4	4	0	0	1
Consegui a ajuda de uma pessoa para alugar uma casa, comprar moveis, estar fazendo faculdade e ter uma vida mais o menos.	4.73275	4	negativa	4	0	4	0	6.0405	4	neutra	3	0	1	3	0
Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.	7.0445	4	negativa	4	0	4	0	6.08225	4	negativa	4	0	4	0	1
Quando ela te encher a paciência, não brigue, ela só gosta de te ver um pouco irritado, por que sabe que depois você vai abrir um sorriso, e ela ama esse sorriso.	9.0495	4	positiva	3	3	0	1	9.46275	4	positiva	3	3	0	1	1
A vida foi cruel comigo, desde de pequena já trabalhando como engraxate, passando fome e vendo todos com pai e mãe, e eu órfã com pais vivos.	6.66125	4	negativa	4	0	4	0	9.127500000000001	4	negativa	4	0	4	0	1
Bem, esse é meu primeiro texto então vou me apresentar, meu nome é Kevin, moro em PE.	7.7075	4	neutra	3	0	1	3	12.891499999999999	4	neutra	4	0	0	4	1
Você sempre será aquela menininha de cabelos loiros e um sorriso no rosto mais lindo do universo, eu amo você, não esqueça.	7.851	4	negativa	3	0	3	1	11.627	4	negativa	3	0	3	1	1
Agora eu simplesmente não reclamo de nada, fico quieto guardando isso tudo dentro de mim.	214.9985	4	neutra	4	0	0	4	6.390249999999999	4	neutra	4	0	0	4	1
Ela namora há quase 4 anos, já terminou uma vez, mas por pouco tempo.	6.122	4	positiva	4	4	0	0	8.414	4	positiva	4	4	0	0	1
Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.	5.90925	4	negativa	3	0	3	1	6.46225	4	negativa	2	1	2	1	1
Pois amigos também dizem EU TE AMO!	6.225	4	neutra	3	0	1	3	4.891249999999999	4	neutra	4	0	0	4	1
Sim, isso me envergonha, gosto de estar sob controle.	36.9135	4	negativa	3	0	3	1	10.500499999999999	4	negativa	4	0	4	0	1
Os que desprezam os pequenos acontecimentos nunca farão grandes descobertas, pequenos momentos mudam grandes rotas.	2.97675	4	positiva	4	4	0	0	6.5745000000000005	4	positiva	3	3	0	1	1
Bom como meu ultimo post foi em agosto , de lá pra cá aconteceram muitas coisas e esse tempo todinho sem postar alguma coisa foi porque meus dias estavam muito corridos vou tentar manter uma certa frequência por aqui.	4.56125	4	neutra	3	0	1	3	7.18325	4	neutra	3	0	1	3	1
Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.	9.01525	4	neutra	3	1	0	3	13.8255	4	neutra	3	1	0	3	1
Hoje iniciei o dia conversando com o Gabriel, o mais novo aqui da obra nova em que eu sou uma das responsáveis.	15.873500000000002	4	neutra	4	0	0	4	11.9045	4	neutra	4	0	0	4	1
Então, caso vocês não se vejam mais, ligue para ela e a convide para sair para os dois conversarem.	4.39375	4	negativa	4	0	4	0	49.01875	4	negativa	3	0	3	1	1
Fui a um churrasco na casa de um amigo, e a conheci, Carol o nome dela, depois descobri que era Jessica mas tudo bem.	5.87825	4	neutra	4	0	0	4	8.123999999999999	4	neutra	3	1	0	3	1
Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa.	8.764750000000001	4	neutra	3	0	1	3	13.19775	4	neutra	3	0	1	3	1
Ainda mais que tudo que tá acontecendo ultimamente está me levando pra perto dele.	7.441000000000001	4	positiva	2	2	1	1	10.9015	4	neutra	3	1	0	3	0
Tive apendicite com sérias complicações.	7.13225	4	negativa	4	0	4	0	22.337	4	negativa	3	0	3	1	1
Poste frases de garota desapegada,que não precisa de homem nenhum pra ser feliz.	4.94675	4	neutra	3	1	0	3	9.77775	4	neutra	3	1	0	3	1
Ainda me lembro das vezes que você me olhava e dizia o quanto me amava, o quanto me queria.	2.23775	4	negativa	4	0	4	0	2.753	4	negativa	3	0	3	1	1
Penso que estou em seus braços, encolhida e tímida, apaixonada e realizada.	7.33025	4	negativa	2	1	2	1	15.264	4	positiva	2	2	1	1	0
Fico com inveja dos meus amigos que resolvem tudo sozinhos, sabem ir pra todos os lugares, e numa boa.	7.131749999999999	4	positiva	3	3	1	0	8.53825	4	positiva	3	3	0	1	1
O que ele fez pra mim foi uma traição está me doendo muito.	3.88575	4	positiva	4	4	0	0	4.264	4	positiva	4	4	0	0	1
Hoje estou muito chateada, eu acho que eu estou sendo traída meu marido está me tratando diferente com muita frieza.	6.833499999999999	4	negativa	4	0	4	0	5.0095	4	negativa	4	0	4	0	1
Não tenho coragem de cobrar fidelidade e isso para um homem é a maior das vergonhas, não sou homem, não sou gente, não sou nada com as drogas.	2.627	4	negativa	4	0	4	0	2.4467499999999998	4	negativa	4	0	4	0	1
Arrepiei-me, ele percebeu e veio se aproximando cada vez mais, segurou meu rosto; foi aproximando seu rosto até que encostou seus lábios nos meus.	3.4062499999999996	4	negativa	4	0	4	0	6.9375	4	negativa	4	0	4	0	1
Neste momento senti minha vida acabar, meu coração estava partido em bilhões de pedaços, tudo que conquistei pedir, tudo que já fui não era mais, as lagrimas escorriam do meu rosto.	7.19025	4	negativa	3	0	3	1	10.69125	4	negativa	4	0	4	0	1
Quero logo o seu abraço forte.	6.390000000000001	4	positiva	3	3	0	1	10.79975	4	positiva	4	4	0	0	1
Acordei na ilusão de ir ao uma festa e beber como toda adolescente de 17 anos.	96.05225	4	negativa	4	0	4	0	10.9135	4	negativa	4	0	4	0	1
Nesse momento estou ocupada nas tarefas que o dia me exige, sem transtornos fora de hora.	2.728	4	positiva	4	4	0	0	5.967499999999999	4	positiva	4	4	0	0	1
Prefere a discrição, ficar quieto, observando e tomando suas próprias conclusões.	5.1615	4	negativa	2	1	2	1	14.02325	4	neutra	3	0	1	3	0
Foi super fofo comigo no msn e isso acendeu mais ainda esse amor platônico em mim.	4.81875	4	neutra	3	1	0	3	9.14725	4	neutra	3	1	0	3	1
Voltei pra casa meu pai brigou comigo apenas a minha irmã entendeu o que eu estava sentindo eu chorei quase a noite inteira.	4.11625	4	neutra	3	1	0	3	6.967499999999999	4	neutra	3	1	0	3	1
Às vezes me sinto meio mal por ser tão dependente dos outros, não saber fazer nada sozinha.	4.39175	4	positiva	3	3	0	1	6.976999999999999	4	positiva	3	3	0	1	1
Hoje eu fui na biblioteca da escola, na hora da aula de Educação Física, e peguei um livro.	3.88725	4	negativa	4	0	4	0	8.46225	4	negativa	4	0	4	0	1
Sentia raiva de mim mesmo, de estar largando tudo por outra pessoa, de deixar ela falar assim comigo, de falar assim dela.	3.78875	4	negativa	4	0	4	0	5.64225	4	negativa	3	1	3	0	1
Por que eu me sinto tão mal e negativa?	3.892	4	neutra	2	1	1	2	6.6825	4	neutra	3	1	0	3	1
Quando tudo parece desmoronar dentro de mim eu me sinto em pedaços.	5.4175	4	negativa	4	0	4	0	9.43425	4	negativa	3	0	3	1	1
Ele viajou e eu to aqui na seca.	2.0695	4	negativa	4	0	4	0	4.99425	4	negativa	3	0	3	1	1
Eu sou uma orgulhosa sim, não fico com todos (até porque isso é coisa de vadia), jogo bola, falo com quem fala comigo, também não sou de ter muitas amigas!	3.732	4	negativa	4	0	4	0	3.558	4	negativa	3	0	3	1	1
Em casa as coisas vão de mal a pior, a situação do meu irmão e da minha cunhada se arrasta, causando um sofrimento enorme pra minha família.	2.93925	4	negativa	4	0	4	0	3.107	4	negativa	3	0	3	1	1
Conheci um novo amor estamos juntos a 3 anos e não vivemos uma linda historia de cinemas mas nos amamos e nos respeitamos abrimos mão de muito pra fazer dar certo, mas respeitamos nossos limites e crescemos juntos vamos nos casar em dezembro.	9.86225	4	neutra	3	1	0	3	9.83425	4	negativa	2	1	2	1	0
A miserável vida do Paulo Anderson.	9.469000000000001	4	negativa	3	0	3	1	9.21375	4	negativa	4	0	4	0	1
Mesmo assim, naquela hora te procurei.	6.48275	4	positiva	4	4	0	0	12.2225	4	positiva	4	4	0	0	1
Eu amo sua sinceridade e inocência.	3.22325	4	negativa	3	0	3	1	4.4465	4	negativa	3	0	3	1	1
Não recomendo isso a ninguém, mas não consigo pensar em outra coisa a fazer quanto estiver triste, pois meus amigos e familiares não entendem que eu fico triste sem motivo e irão me chamar de besta e se eu contar para alguém que me automutilei irão me chamar de doente, porque é isso que o ser humano faz, julga um ao outro.	3.144	4	neutra	4	0	0	4	4.1765	4	neutra	4	0	0	4	1
Quantas pessoas realmente valem a pena conhecer, e são suas amigas de verdade?	374.3685	4	negativa	4	0	4	0	57.52199999999999	4	negativa	4	0	4	0	1
Ai ele começou a tentar brincar com a minha íntima, tentava por cima do short.	9.48375	4	negativa	3	0	3	1	10.90025	4	negativa	4	0	4	0	1
Eu sou virgem, ou pelo menos nunca tive penetração.	6.81475	4	neutra	4	0	0	4	6.311	4	neutra	3	0	1	3	1
Meu nome é Marcelo, tenho 16 anos, faço 17 agora no final do ano, sou muito legal, querido e procuro sempre ser engraçado, gosto de ver as pessoas alegres.	5.11575	4	neutra	3	0	1	3	9.32275	4	neutra	2	1	1	2	1
Eu penso no futuro porque isso vai ser bom pra mim e pra todos que eu amo.	3.1020000000000003	4	neutra	4	0	0	4	6.813249999999999	4	neutra	4	0	0	4	1
